epoch,calculate_mean_std,square_images,train_data_percent,test_accuracy,train_accuracy
1,True,True,0.85,14,9
2,True,True,0.85,17,11
3,True,True,0.85,42,30
4,True,True,0.85,34,30
5,True,True,0.85,40,40
6,True,True,0.85,35,44
7,True,True,0.85,59,51
8,True,True,0.85,53,58
9,True,True,0.85,62,57
10,True,True,0.85,70,68
11,True,True,0.85,64,62
12,True,True,0.85,68,68
13,True,True,0.85,78,73
14,True,True,0.85,73,72
15,True,True,0.85,70,72
16,True,True,0.85,70,72
17,True,True,0.85,78,77
18,True,True,0.85,87,80
19,True,True,0.85,75,75
20,True,True,0.85,75,76
21,True,True,0.85,89,81
22,True,True,0.85,81,74
23,True,True,0.85,85,82
24,True,True,0.85,89,85
25,True,True,0.85,89,87
26,True,True,0.85,85,82
27,True,True,0.85,75,82
28,True,True,0.85,81,82
29,True,True,0.85,78,86
30,True,True,0.85,87,88
31,True,True,0.85,82,81
32,True,True,0.85,81,83
33,True,True,0.85,81,87
34,True,True,0.85,82,82
35,True,True,0.85,85,92
36,True,True,0.85,89,89
37,True,True,0.85,90,91
38,True,True,0.85,84,91
39,True,True,0.85,87,92
40,True,True,0.85,84,85
1,True,True,0.85,14,11
2,True,True,0.85,17,14
3,True,True,0.85,21,18
4,True,True,0.85,21,25
5,True,True,0.85,20,29
6,True,True,0.85,26,36
7,True,True,0.85,35,42
8,True,True,0.85,37,37
9,True,True,0.85,34,49
10,True,True,0.85,45,51
11,True,True,0.85,45,51
12,True,True,0.85,39,56
13,True,True,0.85,43,62
14,True,True,0.85,62,73
15,True,True,0.85,54,71
16,True,True,0.85,71,77
17,True,True,0.85,76,79
18,True,True,0.85,71,76
19,True,True,0.85,79,79
20,True,True,0.85,82,81
21,True,True,0.85,73,84
22,True,True,0.85,79,82
23,True,True,0.85,76,88
24,True,True,0.85,76,79
25,True,True,0.85,71,77
26,True,True,0.85,73,83
27,True,True,0.85,76,88
28,True,True,0.85,79,86
29,True,True,0.85,84,85
30,True,True,0.85,82,92
31,True,True,0.85,82,87
32,True,True,0.85,82,88
33,True,True,0.85,81,89
34,True,True,0.85,85,90
35,True,True,0.85,85,85
36,True,True,0.85,82,89
37,True,True,0.85,90,93
38,True,True,0.85,82,87
39,True,True,0.85,84,90
40,True,True,0.85,89,92
1,True,True,0.85,12,16
2,True,True,0.85,25,26
3,True,True,0.85,26,34
4,True,True,0.85,20,34
5,True,True,0.85,29,46
6,True,True,0.85,40,47
7,True,True,0.85,46,61
8,True,True,0.85,54,64
9,True,True,0.85,60,71
